image, x pos., y pos., width, height:
# faces: 0
# profiles: 0
['01_3', 436, 208, 60, 60]
['01_4', 591, 162, 51, 51]
['01_4', 429, 461, 59, 59]
['01_4', 556, 468, 64, 64]
['01_4', 259, 125, 53, 53]
['01_4', 203, 130, 57, 57]
['01_4', 709, 135, 56, 56]
['01_4', 324, 146, 52, 52]
['01_4', 643, 151, 51, 51]
['02_0', 241, 290, 63, 63]
['02_0', 400, 254, 60, 60]
['02_0', 114, 257, 72, 72]
['02_1', 180, 282, 70, 70]
['02_2', 275, 439, 48, 48]
['02_3', 680, 164, 61, 61]
['02_3', 349, 137, 62, 62]
['02_4', 351, 62, 56, 56]
['02_4', 273, 71, 66, 66]
['03_0', 203, 355, 87, 87]
['03_2', 223, 183, 119, 119]
['03_3', 280, 25, 71, 71]
['03_4', 144, 152, 79, 79]
['03_4', 344, 170, 78, 78]
['03_4', 207, 199, 64, 64]
['03_5', 224, 40, 67, 67]
['04_4', 291, 386, 74, 74]
['06_1', 298, 110, 70, 70]
['06_1', 411, 63, 69, 69]
['06_3', 599, 239, 68, 68]
['07_0', 225, 359, 38, 38]
['07_0', 332, 150, 55, 55]
['07_1', 257, 213, 52, 52]
['07_2', 251, 245, 69, 69]
['09_0', 428, 362, 44, 44]
['09_0', 413, 206, 58, 58]
['09_1', 464, 370, 34, 34]
['09_1', 314, 188, 48, 48]
['09_2', 31, 29, 55, 55]
['09_2', 471, 196, 43, 43]
['09_3', 597, 234, 44, 44]
['10_0', 446, 30, 93, 93]
['10_1', 497, 319, 43, 43]
['10_2', 39, 368, 162, 162]
['10_3', 17, 384, 137, 137]
['11_0', 337, 175, 68, 68]
['11_2', 158, 440, 64, 64]
['11_2', 399, 451, 59, 59]
['11_3', 311, 152, 60, 60]
['11_3', 135, 351, 52, 52]
['11_3', 244, 539, 282, 282]
['11_5', 145, 274, 46, 46]
['12_0', 485, 306, 44, 44]
['12_0', 578, 169, 46, 46]
['12_1', 237, 375, 72, 72]
['12_1', 380, 398, 69, 69]
['12_2', 431, 290, 69, 69]
['12_2', 379, 298, 63, 63]
['12_3', 342, 273, 73, 73]
['13_0', 264, 149, 123, 123]
['13_0', 59, 272, 104, 104]
['13_1', 262, 144, 133, 133]
['13_1', 68, 268, 108, 108]
['13_2', 339, 114, 49, 49]
['13_2', 592, 79, 68, 68]
['13_3', 408, 312, 51, 51]
['13_4', 260, 193, 88, 88]
['13_4', 388, 419, 72, 72]
['13_5', 405, 404, 58, 58]
['14_0', 1726, 341, 85, 85]
['14_0', 736, 767, 84, 84]
['14_0', 453, 362, 78, 78]
['14_0', 1093, 713, 82, 82]
['14_0', 1680, 68, 89, 89]
['14_0', 393, 709, 92, 92]
['14_0', 905, 716, 91, 91]
['14_0', 1800, 459, 93, 93]
['14_0', 283, 463, 88, 88]
['14_0', 1213, 715, 90, 90]
['14_0', 476, 468, 88, 88]
['14_0', 595, 716, 94, 94]
['14_0', 903, 471, 84, 84]
['14_0', 1636, 472, 80, 80]
['14_0', 1568, 885, 87, 87]
['14_0', 1470, 104, 79, 79]
['14_0', 971, 113, 74, 74]
['14_0', 1597, 729, 96, 96]
['14_0', 1420, 746, 90, 90]
['14_0', 1766, 747, 92, 92]
['14_0', 620, 889, 100, 100]
['14_0', 108, 487, 90, 90]
['14_0', 1318, 494, 80, 80]
['14_0', 1086, 121, 76, 76]
['14_0', 1338, 124, 72, 72]
['14_0', 1217, 128, 70, 70]
['14_0', 213, 758, 85, 85]
['14_0', 1298, 908, 101, 101]
['14_0', 986, 917, 95, 95]
['14_0', 766, 508, 82, 82]
['14_0', 1202, 504, 84, 84]
['14_0', 616, 520, 81, 81]
['14_0', 858, 131, 70, 70]
['14_0', 724, 154, 71, 71]
['14_0', 812, 955, 90, 90]
['14_0', 1492, 482, 73, 73]
['14_0', 1056, 502, 74, 74]
['14_0', 1480, 191, 80, 80]
['14_0', 365, 974, 97, 97]
['14_0', 896, 293, 78, 78]
['14_0', 723, 306, 97, 97]
['14_0', 574, 330, 88, 88]
['14_0', 1080, 331, 83, 83]
['14_0', 1577, 337, 72, 72]
['14_0', 1389, 306, 84, 84]
['14_0', 1255, 334, 69, 69]
['15_0', 420, 119, 196, 196]
['15_1', 407, 478, 59, 59]
['15_2', 219, 397, 57, 57]
['15_3', 342, 445, 72, 72]
['16_1', 48, 23, 43, 43]
['16_3', 423, 185, 47, 47]
['16_3', 554, 289, 41, 41]
['16_4', 341, 264, 52, 52]
['17_1', 242, 100, 95, 95]
['17_2', 320, 140, 51, 51]
['17_2', 154, 120, 59, 59]
['17_4', 373, 152, 40, 40]
['18_0', 194, 180, 37, 37]
['18_1', 457, 137, 37, 37]
['18_1', 249, 136, 43, 43]
['18_2', 448, 357, 42, 42]
['18_2', 289, 364, 45, 45]
['18_2', 281, 147, 37, 37]
['18_2', 312, 142, 42, 42]
['18_2', 227, 158, 42, 42]
['18_2', 163, 135, 46, 46]
['18_2', 76, 141, 47, 47]
['18_3', 506, 105, 53, 53]
['18_4', 280, 64, 50, 50]
['18_4', 202, 143, 46, 46]
['18_5', 288, 346, 45, 45]
['18_5', 449, 336, 44, 44]
['18_5', 158, 119, 46, 46]
['18_5', 308, 124, 42, 42]
['18_5', 69, 126, 48, 48]
['18_5', 223, 141, 41, 41]
['19_2', 251, 176, 85, 85]
['19_3', 193, 339, 46, 46]
['19_3', 428, 402, 38, 38]
['19_4', 203, 317, 46, 46]
['20_0', 184, 306, 42, 42]
['20_0', 137, 333, 39, 39]
['20_1', 634, 35, 59, 59]
['20_1', 369, 62, 60, 60]
['21_1', 512, 304, 62, 62]
['21_1', 227, 311, 57, 57]
['21_2', 256, 215, 67, 67]
['21_3', 258, 166, 81, 81]
['21_4', 214, 293, 56, 56]
['21_4', 494, 277, 63, 63]
['21_5', 390, 299, 54, 54]
['21_5', 238, 321, 53, 53]
['22_0', 368, 60, 61, 61]
['22_1', 218, 136, 181, 181]
['22_1', 414, 130, 184, 184]
['22_2', 195, 161, 268, 268]
['22_3', 445, 169, 58, 58]
['22_3', 165, 167, 58, 58]
['22_3', 301, 128, 70, 70]
['22_4', 226, 159, 177, 177]
['22_4', 382, 137, 179, 179]
['22_5', 198, 195, 265, 265]
['23_1', 569, 300, 301, 301]
['23_1', 99, 589, 241, 241]
['24_0', 341, 144, 98, 98]
['24_1', 186, 268, 348, 348]
['25_0', 353, 295, 359, 359]
['25_1', 427, 169, 147, 147]
['26_0', 409, 199, 137, 137]
['27_0', 1056, 336, 68, 68]
['27_0', 1233, 346, 60, 60]
['27_0', 1551, 427, 47, 47]
['27_0', 1382, 423, 54, 54]
['27_0', 664, 215, 89, 89]
['27_0', 537, 371, 57, 57]
['27_1', 153, 449, 106, 106]
['27_1', 464, 306, 125, 125]
['27_1', 763, 312, 129, 129]
['28_0', 543, 257, 40, 40]
['28_2', 554, 335, 43, 43]
['29_1', 517, 278, 44, 44]
['29_2', 248, 236, 66, 66]
['29_3', 496, 245, 68, 68]
['29_4', 285, 231, 68, 68]
['30_0', 805, 303, 60, 60]
['30_0', 529, 295, 64, 64]
['30_0', 232, 284, 101, 101]
['30_0', 936, 352, 66, 66]
['30_0', 1031, 365, 68, 68]
['30_0', 323, 437, 109, 109]
['30_0', 782, 209, 52, 52]
